"統計名：","人口推計 各月1日現在人口 確定値"
"表番号：","003"
"表題：","[確定値] 年齢（５歳階級），男女，月別人口－総人口，日本人人口 ，外国人人口 （各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"","","","","","","","","","","","","/男女別 コード","000","001","002"
"表章項目 コード","表章項目","確定値 コード","確定値","全国 コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在）","人口 コード","人口","年齢5歳階級 コード","年齢5歳階級","/男女別","男女計","男","女"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01015","70～74歳","","9,186","4,336","4,850"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01016","75～79歳","","7,005","3,120","3,886"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01017","80～84歳","","5,386","2,226","3,160"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01018","85～89歳","","3,746","1,328","2,419"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01019","90～94歳","","1,814","501","1,313"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01020","95～99歳","","503","95","409"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01021","100歳以上","","81","10","71"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","02000","（再掲）15歳未満","","14,792","7,577","7,216"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01023","（再掲）15～64歳","","72,706","36,835","35,871"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01024","（再掲）65歳以上","","35,855","15,567","20,288"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01026","（再掲）うち75歳以上","","18,536","7,279","11,257"
"001","人口【千人】","01","確定値","00000","全国","2020001111","2020年11月","002","日本人人口","01027","（再掲）うち85歳以上","","6,145","1,933","4,211"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01000","総数","","126,088","61,318","64,770"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01001","0～4歳","","4,518","2,313","2,206"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01002","5～9歳","","5,100","2,612","2,488"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01003","10～14歳","","5,382","2,759","2,622"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01004","15～19歳","","5,690","2,920","2,771"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01005","20～24歳","","6,336","3,243","3,093"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01006","25～29歳","","6,384","3,279","3,105"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01007","30～34歳","","6,686","3,417","3,268"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01008","35～39歳","","7,481","3,797","3,684"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01009","40～44歳","","8,435","4,277","4,158"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01010","45～49歳","","9,863","4,991","4,872"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01011","50～54歳","","8,736","4,394","4,342"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01012","55～59歳","","7,996","3,994","4,001"
"001","人口【千人】","01","確定値","00000","全国","2020001212","2020年12月","001","総人口","01013","60～64歳","","7,428","3,669","3,759"
